,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
Meier %26 Frank,,Department store,"['1966–2005:', 'May Department Stores', '2005–2006:', 'Federated Retail Holdings']",1857,,True,"Portland, Oregon",Oregon,Portland,XLarge ($200MM-$1B),['Retail'],"['Clothing, footwear, bedding, furniture, jewelry, beauty products, and housewares.']",,,,
American Honda Motor Company,honda.com,Subsidiary,['Honda Motor Co.'],1959,,,"Torrance, California, US",California,Torrance,,,,['Acura'],,['Shinji Aoyama'],"XXLarge (10,000+ Employees)"
Market Basket (Louisiana and Texas),marketbasketfoods.com,Private,,1962,,,"Nederland, Texas, United States",Texas,Nederland,Medium-Large ($50MM-$100MM),['Retail (Grocery)'],"['Bakery, Dairy, Deli, Frozen Foods, Grocery, Meat, Health & Beauty Aids, Produce, Seafood, Snacks, Beer & Wine', 'Supermarkets']",,['Market Basket'],"['Bruce Thompson, Ed Hughes', 'Skylar Thompson ( )']","Large (1,000-4,999 Employees)"
Wakefern Food Corporation,www2.wakefern.com,Private Retailers' cooperative,,1946,,,"Riverside Drive, Keasbey, New Jersey, US",New Jersey,Riverside,XXLarge ($1B+),,"['advertising', 'procurement', 'insurance', 'computer services', 'merchandising', 'marketing']","['The Fresh Grocer', 'Price Rite Marketplace', 'Dearborn Market', 'Fairway Market', 'ShopRite', 'Gourmet Garage']",,"['Abe Kesselman', 'Al Aidekman', 'Leo Eisenberg', 'Sam Aidekman', 'Dave Fern', 'Joseph S. Colalillo', 'Lawrence Weiss', 'Joe Sheridan']","XXLarge (10,000+ Employees)"
AT%26T,att.com,Public,,1983,T,,"Whitacre Tower, Dallas, Texas, US",Texas,Tower,XXLarge ($1B+),"['Telecommunications', 'Technology']","['Satellite television', 'Fixed-line telephones', 'Mobile telephones', 'Internet services']","['AT&T Mexico', 'AT&T Communications', 'DirecTV', 'AT&T Corporation']","['Southwestern Bell Corporation', 'SBC Communications Inc.']","['William Kennard', 'Alexander Graham Bell', 'Gardiner Greene Hubbard', 'John Stankey']","XXLarge (10,000+ Employees)"
Florida East Coast Railway,fecrwy.com,,,,,,"Jacksonville, Florida, US",Florida,Jacksonville,,,,,,,
Umpqua Holdings Corporation,umpquabank.com,Subsidiary,['Columbia Banking System'],1953,UMPQ,,"Portland, Oregon, US, N, W, N W",Oregon,Portland,XLarge ($200MM-$1B),['Commercial Banks'],"['Treasury Management', 'Home Loans', 'Savings Accounts', 'Checking Accounts', 'Private Bank', 'Personal Investing', 'Merchant Services', 'Business Loans', 'Retirement Accounts']",,,"['(Chair)', ""Cort O'Haver ("", 'Peggy Fowler']","Large (1,000-4,999 Employees)"
John L. Scott,johnlscott.com,,,1931,,,"Seattle, Washington",Washington,Seattle,,,,,,['John L. Scott'],
Lance Inc.,lance.com,Subsidiary,"[""Snyder's-Lance""]",1913,,,"Charlotte, North Carolina, US",North Carolina,Charlotte,,['Food'],['Snack food'],,,"['Phillip Lance', 'Campbell Soup Company']","XLarge (5000-10,000 Employees)"
ParkWhiz,parkwhiz.com,Private,,2006,,,"Chicago, Illinois",Illinois,Chicago,,['E-parking'],['Web and mobile e-parking applications'],,,"['Yona Shtern (', 'Aashish Dalal, Jon Thornton']",Medium-Small (50-199 Employees)
Micron Technology,micron.com,Public,,1978,MU,,"Boise, Idaho, US",Idaho,Boise,XXLarge ($1B+),['Semiconductors'],"['SSDs', 'Ballistix Gaming', 'Crucial', 'SpecTek', 'DRAM', 'Flash memory']",,,"['Doug Pitman', 'Sanjay Mehrotra', 'Joe Parkinson', 'Ward Parkinson', 'Robert E. Switz', 'Dennis Wilson']","XXLarge (10,000+ Employees)"
Cadenza Innovation,cadenzainnovation.com,Privately held company,,2012,,,"Danbury, Connecticut, US",Connecticut,Danbury,,"['Renewable energy', 'Electric batteries', 'Research and development']","['ESaaS', 'Li-ion batteries', 'Electric vehicle batteries']",,,['Christina Lampe-Önnerud'],
"Aquila, Inc.",blackhillsenergy.com,Merged,,1902,,True,"Kansas City, Missouri, United States",Kansas,Kansas City,XXLarge ($1B+),['Energy Company'],,,,"['Richard C. Green ( ,  ', 'Herman Cain', '(Director 1992-2008)', 'Lemuel K. Green']",
JRK Property Holdings,,Private,,1991,,,"Los Angeles, California, United States",California,Los Angeles,XXLarge ($1B+),"['Property management', 'real estate', 'holding company']",,"['JRK Hotel Group', 'JRK Residential Group']",,"['\u200b', 'president', 'Bobby Lee', '\u200b\xa0and', '\u200b', 'chairman', 'Jim Lippman']","Large (1,000-4,999 Employees)"
Loaf %27N Jug,loafnjug.com,Private business,['EG America'],1973,,,"Westborough, MA, United States",Massachusetts,Westborough,,"['Retail', 'Convenience stores']",['Petroleum'],,,['Sam Sharp and Paul Jones'],
Maxygen,maxygen.com,Public,,1997,MAXY,True,"Redwood City, CA",California,Redwood City,,"['pharmaceuticals', 'industrial biotechnology']",,,,"['Russell J. Howard', 'Willem P.C. Stemmer', 'Isaac Stein', 'Alejandro Zaffaroni']",
NII Holdings,nii.com,Public,,1995,NIHD,True,"Reston, Virginia, United States",Virginia,Reston,XLarge ($200MM-$1B),"['Services', 'Wireless']","['Two way messaging', 'High-speed networks', 'Push to Talk']",,"['Nextel International', 'Nextel', 'McCaw International']",['Roberto Rittes ('],"XXLarge (10,000+ Employees)"
Pizza Inn,pizzainn.com,Subsidiary,['Rave Restaurant Group'],1958,,,"The Colony, Texas, USA",Texas,The Colony,,['Restaurants'],"['chicken wings', 'salads', 'pasta', 'desserts', 'Pizza', 'sandwiches', 'soft drinks']",,,"['Brandon Solano (', 'Joe Spillman', 'R. L. Spillman']",
Jack%27s,eatatjacks.com,Private,,1960,,,"Birmingham, Alabama, US",Alabama,Birmingham,XLarge ($200MM-$1B),"['Fast food', 'Restaurant']","['•', 'Breakfast', 'Hamburgers', 'Fried chicken', 'Soft drinks', 'French fries']",,"[""Jack's"", ""Jack's' Hamburgers""]","['Independent', 'K. Todd Bartmess (', 'Onex Corporation', 'Billie Jo Waara ()', 'AEA Investors', 'Jack Caddell', 'Matthew Lallatin ()', 'Karen Kelley ()']","XLarge (5000-10,000 Employees)"
Red Touch Media,redtouchmedia.com,,,2001,,,"Salt Lake City, United States",,Salt Lake City,,"[' Music, Television, eBooks, Film, Software', 'Content Management', 'Distribution']","['Red Touch Bridge, Red Touch Express, Red Touch Connect']",,,"['Trevor Suelzle ()', 'Kristie Parker (Corporate Counsel)', 'Collin Zito ()', 'Wayne Scholes']",Medium-Small (50-199 Employees)
Cartus,anywhere.re,Public,,2006,HOUS,,"Madison, New Jersey, US",New Jersey,Madison,XXLarge ($1B+),['Real estate'],['Real estate services'],"['Anywhere Advisors', 'Coldwell Banker', 'ERA Real Estate', 'Better Homes and Gardens Real Estate', 'Anywhere Brands', 'Anywhere Integrated Services', 'Cartus', 'Century 21', ""Sotheby's International Realty"", 'Corcoran Group']",,"['Michael J. Williams ( )', 'Ryan Schneider (']","XLarge (5000-10,000 Employees)"
USA Jet Airlines,usajet.aero,,,1994,,,"Willow Run Airport, Van Buren Township, Michigan, US",Michigan,Willow,,,,,,"['', 'Armen Ormanian (Chief Pilot)', 'Christopher Jamroz', 'John Heaney', 'Matt Sears (Director of Operations)']",
Harrow Health,harrow.com,Public,,2012,HROW,,"Nashville, TN, United States",Tennessee,Nashville,,['Pharmaceutical Industry'],['Pharmaceuticals'],"['Surface Pharmaceuticals', 'Melt Pharmaceuticals', 'Eton Pharmaceuticals', 'ImprimisRx', 'Visionology.com']",['Imprimis Pharmaceuticals ( - Jan 2019)'],"['Andrew R. Boll ()', 'Mark L. Baum']",
Datto (company),datto.com,Subsidiary,['Kaseya Inc.'],2007,MSP,,"Norwalk, Connecticut, US",Connecticut,Norwalk,XLarge ($200MM-$1B),['Software'],"['Professional Services Automation (PSA)', 'Software as a Service (SaaS)', 'Remote Monitoring and Management (RMM)', 'Networking', 'Disaster Recovery and Business Continuity (BCDR)']",,,"['Austin McChord', 'Fred Voccola']","Large (1,000-4,999 Employees)"
URS Corporation,,Subsidiary,['AECOM'],1951,,True,"Transamerica Pyramid, San Francisco, California, United States",California,San Francisco,XXLarge ($1B+),"['Management', 'Operations', 'Engineering', 'Construction', 'Information Technology', 'Architecture', 'Decommissioning', 'Planning']",,,,"['from 1989 to 2014)', 'Martin M. Koffel']","XXLarge (10,000+ Employees)"
Rhone Apparel,rhone.com,,,2014,,,"Pacific St, Stamford, United States",,Pacific,,['Textile'],"['Rhone, SilverTech, GoldFusion', ""Men's"", 'sportswear (activewear)']",,,"['Nate Checketts, Carras Holmstead, Casey Edgar, Kyle McClure, Ben Checketts', 'Nate Checketts']",Medium-Small (50-199 Employees)
SemGroup,,,,2000,,True,"Tulsa, Oklahoma",Oklahoma,Tulsa,XXLarge ($1B+),['Petroleum industry'],"['Asphalt', 'Natural gas processing', 'Pipeline transport']","['Rose Rock Midstream', 'SemStream', 'SemLogistics', 'SemGas', 'Subsidiaries', 'NGL Equity Ownership', 'White Cliffs Pipeline', 'HFOTCO', 'SemCAMS', 'SemMaterials']",,"['Gregory C. Wallace', 'Robert N. Fitzgerald', 'Thomas L. Kivisto', 'Carlin G. Conner,   &']",Medium-Large (500-999 Employees)
NOCO Energy Corporation,noco.com,Private,,1933,,,"Tonawanda, New York",New York,Tonawanda,,['Oil and gas'],"['Motor fuels', 'Aviation fuels', 'Natural gas', 'Petroleum', 'Petrochemicals']",,,['Jim Newman ( )'],
Norton Healthcare,nortonhealthcare.com,General,,,,,,,,,,,,,,
Alliant Energy,alliantenergy.com,Public company,,1917,LNT,,"N Biltmore Lane, Madison, Wisconsin, United States",Wisconsin,Lane,XXLarge ($1B+),['utilities'],"['electricity', 'natural gas']","['Wisconsin Power & Light', 'Interstate Power & Light']",,,"Large (1,000-4,999 Employees)"
Southern Progress Corporation,,Subsidiary,['Dotdash Meredith'],1886,,,"Birmingham, Alabama, USA",Alabama,Birmingham,XXLarge ($1B+),['Periodicals'],"['Magazines', 'Websites', 'Books', ' and']",,,"['Bill McDougald,  - , Southern Progress Homes Group']","Large (1,000-4,999 Employees)"
CustomInk,,,,1999,,,"Fairfax, Virginia",Virginia,Fairfax,XLarge ($200MM-$1B),['Customized  Apparel and Accessories'],"['Screen Printing, Digital Printing, Custom Media, Embroidery', 'T-shirts, Apparel, Accessories']",,,,
PolyOne Corporation,avient.com,Public,,2000,AVNT,,"Avon Lake, Ohio, US",Ohio,Avon Lake,XXLarge ($1B+),['Plastics'],['Specialty polymer materials and compounds'],,['PolyOne Corporation'],['Robert M. Patterson'],"XLarge (5000-10,000 Employees)"
Gurney%27s Seed and Nursery Company,gurneys.com,Privately Held,,1866,,,"Greendale, Indiana, USA",Indiana,Greendale,,['Mail-Order Seed and Nursery'],"['Vegetable seeds, vegetable plants, shrubs, fruit trees, perennials, berries, shade trees, ground covers']",,,,
Pinnacle Financial Partners,pnfp.com,Public,,2000,PNFP,,"The Pinnacle at Symphony Place, Nashville, Tennessee, US",Tennessee,Pinnacle,XXLarge ($1B+),['Finance'],['Financial services'],,,"['M. Terry Turner', 'M. Terry Turner, Rob McCabe, Hugh Queener']","Large (1,000-4,999 Employees)"
Dollar Tree,dollartreecanada.com,Subsidiary,['Dollar Tree'],,DLTR,,"Burnaby, British Columbia, Canada",,Columbia,XXLarge ($1B+),['Retail'],"['Food and snacks, health and beauty care products, housewares, books and toys']","['Dollar Tree Canada', 'Family Dollar']","['Dollar Giant', 'Dollar Tree']","['Neil Curran ( )', 'Joseph Calvano (co-founder)']","XXLarge (10,000+ Employees)"
"Wyatt, Tarrant %26 Combs",wyattfirm.com,,,,,,,,,,,,,,"['James C. Bradshaw III, Partner in Charge - Nashville', ' John E. Tarrant', 'Franklin K. Jelsma, Managing Partner', 'Craig Robertson, Partner in Charge - Lexington', 'Donald J. Kelly, Partner in Charge - Louisville', 'Bert T. Combs', 'Lee Harkavy, Jr., Partner in Charge - Memphis', 'Wilson W. Wyatt']",
Black Box Distribution,,,,2000,,True,"Carlsbad, California, United States",California,Carlsbad,,['Skateboarding'],['Skateboards'],,,['Jamie Thomas'],
Ann %26 Hope,curtainandbathoutlet.com,Privately held company,,1953,,True,"Ann  Hope Way, Cumberland, Rhode Island, United States",Rhode Island,Hope,,['Retail'],,,,"['Paul Carr (GM)', 'Irwin Chase', 'Marty Chase', 'Irwin Chase ( )', 'Ron Dore (']",
Original Tommy%27s,originaltommys.com,Private,,1946,,,"Monrovia, California",California,Monrovia,Medium-Large ($50MM-$100MM),"['Restaurants', 'Fast food']","['hot dogs', 'french fries', 'chili', 'hamburgers', 'soft drinks', 'tamales']",,,"['Thomas James ""Tommy"" Koulax', 'Dawna Bernal ( )']","XLarge (5000-10,000 Employees)"
Blue Bell Creameries,bluebell.com,Private,,1907,,,"Brenham, Texas, US",Texas,Brenham,XLarge ($200MM-$1B),['Ice cream'],,,,['Ricky Dickson'],"Large (1,000-4,999 Employees)"
Landstar System,landstar.com,Public,,1968,LSTR,,"Jacksonville, Florida, United States",Florida,Jacksonville,XXLarge ($1B+),['Transportation'],"['Freight', 'Third-party logistics', 'Delivery']",,,"['James B. Gattoni', '(  of the Board)', '(  &', 'Diana M. Murphy', 'L. Kevin Stout', '(    & )']","Large (1,000-4,999 Employees)"
USA 3000 Airlines,usa3000.com,,,2001,,,"Newtown Township, Pennsylvania, US",Pennsylvania,Newtown,,,,,,"['John J. Mullen, (Former:  ,   and']",
Boeing,boeing.com,Public,,1916,BA,,"Arlington County, Virginia, US",Virginia,Arlington,XXLarge ($1B+),"['Defense', 'Aerospace']","['Satellites', 'Support solutions', ':\u200a35–36', 'Space vehicles and launchers', 'Military aircraft', 'Leasing', 'Commercial aircraft']","['Boeing Defence UK', 'Boeing Japan', 'Boeing Canada', 'Boeing Capital Corporation', 'Boeing Commercial Space\xa0Company', 'Wisk Aero', 'Boeing India', 'Spectrolab', 'Aviall Services', 'Boeing UK', 'Boeing Global Services', 'ForeFlight', 'Jeppesen', 'Boeing Australia', 'Aurora Flight Sciences', 'Boeing Aircraft Holding Company', 'Boeing Commercial Airplanes', 'Boeing Defense, Space &\xa0Security', 'Continental data graphics', 'Boeing Capital', 'Boeing Intelligence &\xa0Analytics']","['Pacific Aero Products Co.', 'Boeing Airplane Company']","['William E. Boeing', 'Dave Calhoun', 'Larry Kellner']","XXLarge (10,000+ Employees)"
Herley Industries,,Public,['Ultra Electronics'],1965,,,"Lancaster, Pennsylvania, United States",Pennsylvania,Lancaster,,['Microwave technology'],['Defense and commercial technology'],,,['Simon Pryce'],"Large (1,000-4,999 Employees)"
"Pop Art, Inc.",pop-art.com,Private,,1997,,,"Portland, Oregon",Oregon,Portland,,"['Enterprise Software', 'Digital Marketing', 'Custom Software', 'Mobile Application Development']",,,,['Tom Paul'],
Dayton%27s,,,['Dayton-Hudson Corporation'],1902,,True,"Minneapolis, Minnesota",Minnesota,Minneapolis,,['Department store'],,['Target'],"[""Marshall Field's"", ""Macy's""]","['The Dayton Family (until 1969)', 'George Draper Dayton']",
Altria,altria.com,Public,,1985,MO,,"Reynolds Metals Company International Headquarters, Henrico County, Virginia, US",Virginia,Reynolds,XXLarge ($1B+),['Tobacco'],,"['U.S. Smokeless Tobacco Company', 'John Middleton, Inc.', 'Helix Innovations', 'NJOY', 'Philip Morris USA', 'Horizon Innovations LLC']",,['Billy Gifford'],"XLarge (5000-10,000 Employees)"
Busch Entertainment Corporation,,Public,['SeaWorld Entertainment Inc.'],1959,SEAS,,"Orlando, Florida, United States",Florida,Orlando,XXLarge ($1B+),"['Entertainment', 'Theme park', 'operator']","['Busch Gardens', 'Adventure Island', 'Sesame Place (San Diego)', 'Water Country USA', 'Aquatica', 'Discovery Cove', 'Theme park attractions, rides, and games', 'Worlds of Discovery', 'SeaWorld', 'Sesame Place (Pennsylvania)']","['Deep Blue Creative', 'Resort Development Group']",,"['Hill Path Capital LP', 'Marc G. Swanson']","XXLarge (10,000+ Employees)"
Ben E. Keith Company,benekeith.com,,,1906,,,"Fort Worth, Texas",Texas,Fort Worth,XXLarge ($1B+),['Foodservice distributing'],,['Food & beverages'],['Harkrider-Keith-Cooke Company'],"['Ben E. Keith', 'Ben E. Keith', 'Howard Hallam', 'General manager']","XLarge (5000-10,000 Employees)"
Merit Network,merit.edu,Non-profit member governed,,1966,,,,,,,,,,,"['Michigan State University', 'University of Michigan', 'Wayne State University']",
Franklin Templeton Investments,franklintempleton.com,Public company,,1947,BEN,,"San Mateo, California, US",California,San Mateo,XXLarge ($1B+),['Financial services'],"['Retirement Planning', 'Mutual funds']","['Lexington Partners', 'Royce Investment Partners', 'Western Asset Management Company', 'ClearBridge Investments', 'Legg Mason', 'K2 Advisors', 'Clarion Partners', 'Fiduciary Trust Company International']",['Franklin Templeton'],"['Rupert H. Johnson Sr.', 'Gregory E. Johnson', '(  and', '(   )', 'Jennifer M. Johnson', 'Rupert H. Johnson Jr.', '(    of the Board)']","XXLarge (10,000+ Employees)"
Perdue Farms,perduefarms.com,Private,['FPP Family Investments'],1920,,,"Salisbury, Maryland",Maryland,Salisbury,XXLarge ($1B+),"['Meat processing', 'Poultry farming']","['Poultry, chicken, turkey, pork, grain']",,,"['', 'Pearl Perdue', 'Arthur W. Perdue', 'Randy Day', 'Jim Perdue']","XXLarge (10,000+ Employees)"
Wetzel%27s Pretzels,wetzels.com,Private,,1994,,,"Pasadena, California, US",California,Pasadena,XLarge ($200MM-$1B),"['Pretzel Shop', 'Food and beverage', 'Quick service']",['Pretzels'],,['Wetzel’s Pretzels'],"['Rick Wetzel', 'Jennifer Schuler', 'CenterOak Partners LLC', 'Bill Phelps', 'Levine Leichtman Capital Partners Inc.']","Large (1,000-4,999 Employees)"
David%27s Bridal,davidsbridal.com,Private,,1950,,True,"Conshohocken, Pennsylvania, US",Pennsylvania,Conshohocken,,['Specialty Retail'],"['Wedding Gowns, Bridesmaids Dresses, Social Occasion  Dresses, Guest of a Wedding Dresses, Prom & Homecoming Gowns, Accessories (Jewelry, Handbags, Shoes, Veils, Headpieces), Gifts']",,,"['Kelly Cook (Chief Marketing Officer)', '(Chief   Officer)', 'Oaktree Capital Management', 'Nevin Shetty (Chief Partnership Officer)', 'Lizzy Ellingson (Chief Digital Experience Officer)', 'Anthony Troy (Chief Information Officer)', 'Bob Walker (Chief Field Operations & Store Experience Officer)', 'James A. Marcum']","XXLarge (10,000+ Employees)"
"Oakley, Inc.",oakley.com,Subsidiary,['EssilorLuxottica'],1975,,,"Foothill Ranch, California, United States",California,Foothill Ranch,,"['Clothing', 'Sports equipment', 'Sunglasses']",,"['Oliver Peoples', 'ESS (Eye Safety Systems)']",,"['Jim Jannard', ':']",
Frito-Lay,fritolay.com,Subsidiary,['PepsiCo'],1961,,,"Plano, Texas, US",Texas,Plano,XXLarge ($1B+),['Food'],"['Cheetos', "" Grandma's"", ""Lay's"", 'Rold Gold', 'Funyuns', 'Fritos', 'Walkers', 'Kurkure', ' Hot Cheetos', 'Uncle Chipps', 'Snack foods', 'Doritos', 'Ruffles', 'Sun Chips', 'Tostitos']",,,['Steven Williams'],
Dickies,dickies.com,Subsidiary,['VF Corporation'],1922,,,"Fort Worth, Texas",Texas,Fort Worth,,['Clothing'],['Workwear'],,,"['C. N. Williamson and E. E. ""Colonel"" Dickie']",
Younique,younique.com,Private,,2012,,,"Lehi, Utah, United States",Utah,Lehi,,"['network marketing', 'Cosmetics']",['Cosmetics'],,,"['Derek Maxfield, Melanie Huscroft']",
